"","Activos","Recuperados"
"22-Feb","1","0"
"23-Feb","2","0"
"24-Feb","3","0"
"25-Feb","12","0"
"26-Feb","13","0"
"27-Feb","18","0"
"28-Feb","20","0"
"29-Feb","20","1"
"01-Mar","26","2"
"02-Mar","32","3"
"03-Mar","31","12"
"04-Mar","40","13"
"05-Mar","53","18"
"06-Mar","64","20"
"07-Mar","76","21"
"08-Mar","92","28"
"09-Mar","119","35"
"10-Mar","173","43"
"11-Mar","213","53"
"12-Mar","264","71"
"13-Mar","365","84"
"14-Mar","498","97"
"15-Mar","643","120"
"16-Mar","882","154"
"17-Mar","1066","216"
"18-Mar","1265","266"
"19-Mar","1474","335"
"20-Mar","1686","449"
"21-Mar","1825","595"
"22-Mar","1943","763"
"23-Mar","2019","1036"
"24-Mar","2081","1282"
"25-Mar","2151","1531"
"26-Mar","2203","1809"
"27-Mar","2192","2135"
"28-Mar","2203","2420"
"29-Mar","2186","2706"
"30-Mar","2188","3055"
"31-Mar","2188","3363"
"01-Abr","2272","3682"
"02-Abr","2318","4012"
"03-Abr","2378","4327"
"04-Abr","2441","4623"
"05-Abr","2481","4892"
"06-Abr","2553","5243"
"07-Abr","2619","5551"
"08-Abr","2582","5954"
"09-Abr","2605","6330"
"10-Abr","2640","6705"
"11-Abr","2605","7064"
"12-Abr","2637","7373"
"13-Abr","2739","7796"
"14-Abr","2832","8170"
"15-Abr","3046","8536"
"16-Abr","3184","8935"
"17-Abr","3314","9345"
"18-Abr","3500","9669"
"19-Abr","3654","10010"
"20-Abr","4121","10535"
"21-Abr","4364","11002"
"22-Abr","4547","11582"
"23-Abr","4828","12119"
"24-Abr","5334","12659"
"25-Abr","5850","13169"
"26-Abr","6369","13664"
"27-Abr","6939","14656"
"28-Abr","7823","15366"
"29-Abr","8751","16129"
"30-Abr","10007","16947"
"01-May","11740","17993"
"02-May","13284","19019"
"03-May","14959","20033"
"04-May","17156","21595"
"05-May","19125","23189"
"06-May","20913","24880"
"07-May","22428","26954"
"08-May","23764","29733"
"09-May","25054","32303"
"10-May","26600","34992"
"11-May","28019","38751"
"12-May","29223","42314"
"13-May","29956","45793"
"14-May","30452","49382"
"15-May","31488","53497"
"16-May","32125","57357"
"17-May","32283","61592"
"18-May","32792","66770"
"19-May","32939","71537"
"20-May","34499","75749"
"21-May","34896","79834"
"22-May","35357","84985"
"23-May","35857","89482"
"24-May","35890","93875"
"25-May","36317","99562"
"26-May","36171","104476"
"27-May","35291","110248"
"28-May","35773","114730"
"29-May","35232","120342"
"30-May","34965","125339"
"31-May","34784","129765"
"01-Jun","35551","135879"
"02-Jun","35443","140647"
"03-Jun","35059","145539"
"04-Jun","34825","150503"
"05-Jun","34841","155574"
"06-Jun","34451","160304"
"07-Jun","34099","164549"
"08-Jun","32472","171430"
"09-Jun","31952","176090"
"10-Jun","31873","180598"
"11-Jun","31057","185328"
"12-Jun","30527","190415"
"13-Jun","30291","194755"
"14-Jun","30000","198648"
"15-Jun","29604","203902"
"16-Jun","29547","208042"
"17-Jun","28868","212471"
"18-Jun","28854","216385"
"19-Jun","28264","220942"
"20-Jun","27889","225046"
"21-Jun","27363","228648"
"22-Jun","26210","233506"
"23-Jun","25514","237589"
"24-Jun","24938","241339"
"25-Jun","24134","245239"
"26-Jun","23389","249206"
"27-Jun","22318","252935"
"28-Jun","21720","256011"
"29-Jun","20605","259716"
"30-Jun","20190","263103"
"01-Jul","20259","266277"
"02-Jul","19603","269373"
"03-Jul","18961","272595"
"04-Jul","18606","275253"
"05-Jul","18347","277731"
"06-Jul","18585","280321"
"07-Jul","17973","283293"
"08-Jul","16976","286536"
"09-Jul","16698","288976"
"10-Jul","16567","291556"
"11-Jul","16235","293859"
"12-Jul","15876","296078"
"13-Jul","15399","298906"
