"Fecha","Primera","Segunda","Unica","Refuerzo"
"24-Dic","420.0","0.0","0.0","0.0"
"25-Dic","5199.0","0.0","0.0","0.0"
"26-Dic","8339.0","0.0","0.0","0.0"
"27-Dic","8648.0","0.0","0.0","0.0"
"28-Dic","8648.0","0.0","0.0","0.0"
"29-Dic","8648.0","0.0","0.0","0.0"
"30-Dic","8648.0","0.0","0.0","0.0"
"31-Dic","8648.0","0.0","0.0","0.0"
"01-Ene","8648.0","0.0","0.0","0.0"
"02-Ene","8648.0","0.0","0.0","0.0"
"03-Ene","8648.0","0.0","0.0","0.0"
"04-Ene","9053.0","0.0","0.0","0.0"
"05-Ene","10497.0","0.0","0.0","0.0"
"06-Ene","10703.0","0.0","0.0","0.0"
"07-Ene","10703.0","0.0","0.0","0.0"
"08-Ene","10704.0","0.0","0.0","0.0"
"09-Ene","10704.0","0.0","0.0","0.0"
"10-Ene","10705.0","0.0","0.0","0.0"
"11-Ene","10706.0","0.0","0.0","0.0"
"12-Ene","10706.0","0.0","0.0","0.0"
"13-Ene","10707.0","1032.0","0.0","0.0"
"14-Ene","12827.0","5829.0","0.0","0.0"
"15-Ene","13783.0","8304.0","0.0","0.0"
"16-Ene","13806.0","8371.0","0.0","0.0"
"17-Ene","13806.0","8371.0","0.0","0.0"
"18-Ene","24857.0","8371.0","0.0","0.0"
"19-Ene","44223.0","8372.0","0.0","0.0"
"20-Ene","53532.0","8372.0","0.0","0.0"
"21-Ene","56588.0","8372.0","0.0","0.0"
"22-Ene","56999.0","8376.0","0.0","0.0"
"23-Ene","56999.0","8376.0","0.0","0.0"
"24-Ene","56999.0","8376.0","0.0","0.0"
"25-Ene","57016.0","9779.0","0.0","0.0"
"26-Ene","57035.0","10374.0","0.0","0.0"
"27-Ene","57036.0","10408.0","0.0","0.0"
"28-Ene","57036.0","10408.0","0.0","0.0"
"29-Ene","57036.0","10413.0","0.0","0.0"
"30-Ene","57037.0","10413.0","0.0","0.0"
"31-Ene","57037.0","10414.0","0.0","0.0"
"01-Feb","57038.0","10414.0","0.0","0.0"
"02-Feb","70231.0","10420.0","0.0","0.0"
"03-Feb","240616.0","10420.0","0.0","0.0"
"04-Feb","414691.0","12528.0","0.0","0.0"
"05-Feb","583542.0","13199.0","0.0","0.0"
"06-Feb","611398.0","13204.0","0.0","0.0"
"07-Feb","620037.0","13207.0","0.0","0.0"
"08-Feb","841563.0","24990.0","0.0","0.0"
"09-Feb","1084115.0","44380.0","0.0","0.0"
"10-Feb","1356593.0","52727.0","0.0","0.0"
"11-Feb","1608022.0","55616.0","0.0","0.0"
"12-Feb","1837310.0","55826.0","0.0","0.0"
"13-Feb","1866841.0","55859.0","0.0","0.0"
"14-Feb","1871309.0","55859.0","0.0","0.0"
"15-Feb","2137216.0","55859.0","0.0","0.0"
"16-Feb","2357310.0","55871.0","0.0","0.0"
"17-Feb","2545361.0","55871.0","0.0","0.0"
"18-Feb","2700662.0","55872.0","0.0","0.0"
"19-Feb","2842815.0","55875.0","0.0","0.0"
"20-Feb","2852456.0","55875.0","0.0","0.0"
"21-Feb","2853619.0","55875.0","0.0","0.0"
"22-Feb","2961764.0","55897.0","0.0","0.0"
"23-Feb","3055986.0","55937.0","0.0","0.0"
"24-Feb","3142099.0","56111.0","0.0","0.0"
"25-Feb","3228078.0","56256.0","0.0","0.0"
"26-Feb","3306391.0","56374.0","0.0","0.0"
