"Region","Antofagasta","Arica y Parinacota","Atacama","Aysén","Biobío","Coquimbo","Araucanía","O’Higgins","Los Lagos","Los Ríos","Magallanes","Maule","Metropolitana","Tarapacá","Valparaíso","Ñuble"
"03-Mar","","","","","","","","","","","","","","","",""
"04-Mar","","","","","","","","","","","","","","","",""
"05-Mar","","","","","","","","","","","","","","","",""
"06-Mar","","","","","","","","","","","","","","","",""
"07-Mar","","","","","","","","","","","","","","","",""
"08-Mar","","","","","","","","","","","","","","","",""
"09-Mar","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10-Mar","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0"
"11-Mar","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0"
"12-Mar","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0"
"13-Mar","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.1"
"14-Mar","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.1"
"15-Mar","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.1"
"16-Mar","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"17-Mar","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","0.2","0.0","0.0","0.7"
"18-Mar","0.0","0.0","0.0","0.1","0.1","0.0","0.1","0.0","0.1","0.0","0.2","0.1","0.3","0.0","0.0","0.7"
"19-Mar","0.0","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.2","0.0","0.2","0.1","0.4","0.0","0.0","0.8"
"20-Mar","0.1","0.1","0.0","0.1","0.1","0.1","0.1","0.1","0.3","0.0","0.2","0.1","0.5","0.0","0.0","1.2"
"21-Mar","0.2","0.1","0.0","0.0","0.2","0.1","0.2","0.1","0.3","0.0","0.2","0.1","0.6","0.0","0.1","1.5"
"22-Mar","0.2","0.1","0.0","0.0","0.3","0.1","0.4","0.1","0.4","0.0","0.3","0.2","0.6","0.0","0.1","1.7"
"23-Mar","0.2","0.1","0.0","0.0","0.4","0.1","0.5","0.1","0.5","0.1","0.5","0.2","0.6","0.0","0.1","1.9"
"24-Mar","0.2","0.1","0.0","0.0","0.6","0.2","0.8","0.1","0.6","0.2","0.5","0.3","0.7","0.1","0.2","2.2"
