"","Positividad","Positividad últimos 7 días"
"25-Mar","0.0669",""
"26-Mar","0.0336",""
"27-Mar","0.0412",""
"28-Mar","0.0846",""
"29-Mar","0.1294",""
"30-Mar","0.0842",""
"31-Mar","0.0949","0.0764"
"01-Abr","0.1011","0.0813"
"02-Abr","0.1389","0.0963"
"03-Abr","0.0978","0.1044"
"04-Abr","0.0946","0.1058"
"05-Abr","0.0927","0.1006"
"06-Abr","0.1183","0.1055"
"07-Abr","0.1333","0.111"
"08-Abr","0.1315","0.1153"
"09-Abr","0.0535","0.1031"
"10-Abr","0.119","0.1061"
"11-Abr","0.1191","0.1096"
"12-Abr","0.0485","0.1033"
"13-Abr","0.1129","0.1025"
"14-Abr","0.1421","0.1038"
"15-Abr","0.0873","0.0975"
"16-Abr","0.0815","0.1015"
"17-Abr","0.0817","0.0962"
"18-Abr","0.0953","0.0928"
"19-Abr","0.0752","0.0966"
"20-Abr","0.0809","0.092"
"21-Abr","0.0921","0.0849"
"22-Abr","0.0729","0.0828"
"23-Abr","0.0803","0.0826"
"24-Abr","0.0694","0.0809"
"25-Abr","0.0795","0.0786"
"26-Abr","0.0699","0.0779"
"27-Abr","0.0916","0.0794"
"28-Abr","0.112","0.0822"
"29-Abr","0.1193","0.0889"
"30-Abr","0.1124","0.0934"
"01-May","0.1105","0.0993"
"02-May","0.1432","0.1084"
"03-May","0.1801","0.1242"
"04-May","0.1238","0.1288"
"05-May","0.1724","0.1374"
"06-May","0.1031","0.1351"
"07-May","0.1265","0.1371"
"08-May","0.1185","0.1382"
"09-May","0.1044","0.1327"
"10-May","0.1289","0.1254"
"11-May","0.0895","0.1205"
"12-May","0.1786","0.1214"
"13-May","0.2555","0.1431"
"14-May","0.2312","0.1581"
"15-May","0.1555","0.1634"
"16-May","0.214","0.179"
"17-May","0.1787","0.1861"
"18-May","0.1301","0.1919"
"19-May","0.2174","0.1975"
"20-May","0.3238","0.2072"
"21-May","0.2427","0.2089"
"22-May","0.2658","0.2246"
"23-May","0.232","0.2272"
"24-May","0.2571","0.2384"
"25-May","0.3006","0.2628"
"26-May","0.303","0.275"
"27-May","0.323","0.2749"
"28-May","0.2974","0.2827"
"29-May","0.2262","0.277"
"30-May","0.251","0.2798"
"31-May","0.2526","0.2791"
"01-Jun","0.3239","0.2824"
"02-Jun","0.2624","0.2766"
"03-Jun","0.3179","0.2759"
"04-Jun","0.2571","0.2702"
"05-Jun","0.1932","0.2654"
"06-Jun","0.2768","0.2691"
"07-Jun","0.3012","0.2761"
"08-Jun","0.2343","0.2633"
"09-Jun","0.2201","0.2572"
"10-Jun","0.3963","0.2684"
"11-Jun","0.2801","0.2717"
"12-Jun","0.3605","0.2956"
"13-Jun","0.3219","0.3021"
"14-Jun","0.3443","0.3082"
"15-Jun","0.2734","0.3138"
"16-Jun","0.3439","0.3315"
"17-Jun","0.3765","0.3287"
"18-Jun","0.2633","0.3263"
"19-Jun","0.3091","0.3189"
"20-Jun","0.2667","0.311"
"21-Jun","0.2787","0.3017"
"22-Jun","0.2471","0.2979"
"23-Jun","0.2994","0.2915"
"24-Jun","0.2902","0.2792"
"25-Jun","0.2664","0.2797"
"26-Jun","0.2354","0.2691"
"27-Jun","0.2455","0.2661"
"28-Jun","0.2295","0.2591"
"29-Jun","0.2391","0.2579"
"30-Jun","0.2543","0.2515"
"01-Jul","0.2552","0.2465"
"02-Jul","0.2306","0.2414"
"03-Jul","0.2277","0.2403"
"04-Jul","0.2174","0.2363"
"05-Jul","0.2047","0.2327"
"06-Jul","0.1847","0.2249"
"07-Jul","0.2041","0.2178"
"08-Jul","0.1972","0.2095"
"09-Jul","0.186","0.2031"
"10-Jul","0.1725","0.1952"
"11-Jul","0.1508","0.1857"
"12-Jul","0.1571","0.1789"
"13-Jul","0.1498","0.1739"
"14-Jul","0.15","0.1662"
"15-Jul","0.1402","0.1581"
"16-Jul","0.144","0.1521"
"17-Jul","0.1519","0.1491"
"18-Jul","0.1233","0.1452"
"19-Jul","0.1324","0.1417"
"20-Jul","0.1284","0.1386"
"21-Jul","0.1315","0.136"
"22-Jul","0.1361","0.1354"
"23-Jul","0.1257","0.1328"
"24-Jul","0.1208","0.1283"
"25-Jul","0.1195","0.1278"
"26-Jul","0.1115","0.1248"
"27-Jul","0.099","0.1206"
"28-Jul","0.1066","0.117"
"29-Jul","0.1035","0.1124"
"30-Jul","0.096","0.1081"
"31-Jul","0.0928","0.1041"
"01-Ago","0.0811","0.0986"
"02-Ago","0.0836","0.0947"
"03-Ago","0.0726","0.0909"
"04-Ago","0.0775","0.0867"
"05-Ago","0.0832","0.0838"
"06-Ago","0.0854","0.0823"
"07-Ago","0.0851","0.0812"
"08-Ago","0.0814","0.0813"
"09-Ago","0.0715","0.0795"
"10-Ago","0.0764","0.0801"
"11-Ago","0.0704","0.0791"
"12-Ago","0.0796","0.0785"
"13-Ago","0.0784","0.0775"
"14-Ago","0.0752","0.0761"
"15-Ago","0.0624","0.0734"
"16-Ago","0.0675","0.0728"
"17-Ago","0.0615","0.0707"
"18-Ago","0.0576","0.0689"
"19-Ago","0.064","0.0667"
"20-Ago","0.069","0.0653"
"21-Ago","0.067","0.0641"
"22-Ago","0.0648","0.0645"
"23-Ago","0.0607","0.0635"
"24-Ago","0.0693","0.0646"
"25-Ago","0.0574","0.0646"
"26-Ago","0.0677","0.0651"
"27-Ago","0.0644","0.0645"
"28-Ago","0.0617","0.0637"
"29-Ago","0.0631","0.0635"
"30-Ago","0.0565","0.0629"
"31-Ago","0.0549","0.0608"
"01-Sep","0.0537","0.0603"
"02-Sep","0.0696","0.0606"
"03-Sep","0.0645","0.0606"
"04-Sep","0.0615","0.0605"
"05-Sep","0.0567","0.0596"
"06-Sep","0.0589","0.06"
"07-Sep","0.0569","0.0603"
"08-Sep","0.0451","0.059"
"09-Sep","0.068","0.0588"
"10-Sep","0.0579","0.0579"
"11-Sep","0.0546","0.0569"
"12-Sep","0.0561","0.0568"
"13-Sep","0.0574","0.0566"
"14-Sep","0.0517","0.0558"
"15-Sep","0.0565","0.0575"
"16-Sep","0.0565","0.0558"
"17-Sep","0.0588","0.0559"
"18-Sep","0.0503","0.0553"
"19-Sep","0.0531","0.0549"
"20-Sep","0.0579","0.055"
"21-Sep","0.071","0.0577"
"22-Sep","0.0787","0.0609"
"23-Sep","0.0881","0.0654"
"24-Sep","0.0595","0.0655"
"25-Sep","0.059","0.0668"
"26-Sep","0.0553","0.0671"
"27-Sep","0.0488","0.0658"
"28-Sep","0.0472","0.0624"
"29-Sep","0.0561","0.0591"
"30-Sep","0.0612","0.0553"
"01-Oct","0.0525","0.0543"
"02-Oct","0.0476","0.0527"
"03-Oct","0.0527","0.0523"
"04-Oct","0.047","0.052"
"05-Oct","0.0433","0.0515"
"06-Oct","0.0591","0.0519"
"07-Oct","0.0574","0.0514"
"08-Oct","0.0478","0.0507"
"09-Oct","0.0482","0.0508"
"10-Oct","0.0506","0.0505"
"11-Oct","0.0453","0.0502"
"12-Oct","0.0422","0.0501"
"13-Oct","0.0544","0.0494"
"14-Oct","0.0628","0.0502"
"15-Oct","0.0623","0.0523"
"16-Oct","0.0543","0.0531"
"17-Oct","0.0495","0.053"
"18-Oct","0.0474","0.0533"
"19-Oct","0.0446","0.0536"
"20-Oct","0.0427","0.0519"
"21-Oct","0.0611","0.0517"
"22-Oct","0.0471","0.0495"
"23-Oct","0.0475","0.0486"
"24-Oct","0.0432","0.0477"
"25-Oct","0.04","0.0466"
"26-Oct","0.0398","0.0459"
"27-Oct","0.0461","0.0464"
"28-Oct","0.046","0.0442"
"29-Oct","0.0455","0.044"
"30-Oct","0.0415","0.0432"
"31-Oct","0.0429","0.0431"
"01-Nov","0.0391","0.043"
"02-Nov","0.0362","0.0425"
"03-Nov","0.0427","0.042"
"04-Nov","0.0469","0.0421"
"05-Nov","0.045","0.042"
"06-Nov","0.0445","0.0425"
"07-Nov","0.0399","0.042"
"08-Nov","0.0375","0.0418"
"09-Nov","0.0353","0.0417"
"10-Nov","0.0453","0.0421"
"11-Nov","0.0408","0.0412"
"12-Nov","0.0457","0.0413"
"13-Nov","0.0416","0.0409"
"14-Nov","0.0406","0.041"
"15-Nov","0.0391","0.0412"
"16-Nov","0.0357","0.0413"
"17-Nov","0.0442","0.0411"
"18-Nov","0.0467","0.0419"
"19-Nov","0.0412","0.0413"
"20-Nov","0.0401","0.0411"
"21-Nov","0.0392","0.0409"
"22-Nov","0.0374","0.0406"
"23-Nov","0.0375","0.0409"
"24-Nov","0.0442","0.0409"
"25-Nov","0.0493","0.0413"
"26-Nov","0.0432","0.0416"
"27-Nov","0.0403","0.0416"
"28-Nov","0.0435","0.0422"
"29-Nov","0.0348","0.0418"
"30-Nov","0.035","0.0415"
"01-Dic","0.0473","0.0419"
"02-Dic","0.0479","0.0417"
"03-Dic","0.0418","0.0415"
