"","ocupados","disponibles"
"14-Abr","986","564"
"15-Abr","986","577"
"16-Abr","1013","569"
"17-Abr","1025","579"
"18-Abr","1039","588"
"19-Abr","1057","570"
"20-Abr","1083","538"
"21-Abr","1093","521"
"22-Abr","1074","545"
"23-Abr","1086","536"
"24-Abr","1084","541"
"25-Abr","1058","572"
"26-Abr","1082","620"
"27-Abr","1110","592"
"28-Abr","1117","583"
"29-Abr","1110","595"
"30-Abr","1100","608"
"01-May","1098","612"
"02-May","1116","709"
"03-May","1151","674"
"04-May","1174","654"
"05-May","1185","640"
"06-May","1189","636"
"07-May","1198","627"
"08-May","1230","595"
"09-May","1276","549"
"10-May","1275","550"
"11-May","1306","606"
"12-May","1330","582"
"13-May","1359","553"
"14-May","1397","515"
"15-May","1493","419"
"16-May","1498","414"
"17-May","1561","569"
"18-May","1604","526"
"19-May","1675","455"
"20-May","1740","390"
"21-May","1798","332"
"22-May","1831","346"
"23-May","1914","336"
"24-May","1970","348"
"25-May","2025","322"
"26-May","2041","329"
"27-May","2086","331"
"28-May","2133","346"
"29-May","2173","345"
"30-May","2173","345"
"31-May","2263","313"
"01-Jun","2318","286"
"02-Jun","2399","340"
"03-Jun","2409","330"
"04-Jun","2416","323"
"05-Jun","2440","327"
"06-Jun","2462","312"
"07-Jun","2495","328"
"08-Jun","2534","321"
"09-Jun","2593","313"
"10-Jun","2562","311"
"11-Jun","2545","331"
"12-Jun","2553","310"
"13-Jun","2589","305"
"14-Jun","2592","306"
"15-Jun","2626","391"
"16-Jun","2637","377"
"17-Jun","2658","356"
"18-Jun","2661","353"
"19-Jun","2692","322"
"20-Jun","2703","311"
"21-Jun","2716","302"
"22-Jun","2734","284"
"23-Jun","2765","257"
"24-Jun","2743","280"
"25-Jun","2739","300"
"26-Jun","2741","305"
"27-Jun","2773","267"
"28-Jun","2778","302"
"29-Jun","2816","291"
"30-Jun","2821","293"
"01-Jul","2828","274"
"02-Jul","2844","276"
"03-Jul","2846","289"
"04-Jul","2825","318"
"05-Jul","2825","350"
"06-Jul","2819","351"
